,appid,app_class
211,10334,g
212,15685,n
213,16757,a
214,18186,a
215,18120,s
216,12585,
217,17528,
218,5101,
219,21534,
220,18618,f
221,22162,
222,7541,
223,15595,
224,15796,
225,7280,c
226,11332,t
227,5355,n
228,18547,t
229,17321,
230,1180,d
231,17224,a
232,22324,t
233,21724,
234,5170,
235,3842,f
236,17866,j
237,20951,o
238,1912,
239,23343,f
240,11320,g
241,3327,s
242,1557,
243,17037,f
244,16891,
245,10295,g
246,8621,
247,22687,
248,10692,g
249,9531,h
250,5548,
251,3878,
252,2428,h
253,1082,t
254,21846,t
255,8821,j
256,18086,
257,17988,g
258,13487,
259,20227,c
260,6482,
261,3,
262,19329,
263,8557,
264,20561,j
265,4662,
266,19055,
267,15871,
268,11092,
269,21820,j
270,21568,j
271,21399,
272,17247,g
273,4594,g
274,10806,e
275,4062,
276,8948,f
277,23618,
278,19727,
279,17075,t
280,22427,
281,2086,f
282,22054,
283,11484,
284,16464,
285,7332,j
286,14118,c
287,13606,c
288,21147,j
289,21512,
290,15890,
291,2853,a
292,365,t
293,16470,t
294,20833,t
295,18713,i
296,19171,i
297,15432,
298,17151,j
299,17559,n
300,18294,
301,17897,i
302,18478,c
303,18338,
304,8051,
305,11144,g
306,6955,n
307,21774,d
308,1830,h
309,12557,c
310,19816,i
311,509,c
312,18155,
313,15394,
314,3597,
315,2739,
316,2200,d
317,16623,t
318,22208,h
319,16479,h
320,38,
321,17156,g
322,7806,k
323,7938,
324,19872,t
325,3139,i
326,17828,i
327,895,
328,22265,g
329,23078,i
330,19169,
331,23507,
332,3109,o
333,4175,p
334,8637,
335,4,g
336,5155,g
337,6039,g
338,15873,
339,13237,i
340,13360,
341,720,t
342,6169,
343,16969,
344,21048,c
345,8277,t
346,18983,e
347,17938,s
348,21959,o
349,21323,
350,5823,b
351,11995,
352,11239,o
353,1880,o
354,3598,f
355,8395,g
356,15311,j
357,6682,f
358,14241,
359,15505,
360,3489,f
361,9340,
362,1346,
363,19634,f
364,15860,t
365,3977,
366,1260,
367,21982,n
368,6566,p
369,964,h
370,13730,
371,6629,h
372,3457,t
373,3417,t
374,6384,b
375,4862,t
376,8783,
377,9997,b
378,6686,
379,1099,t
380,18627,
381,441,
382,12618,g
383,222,
384,20514,t
385,17715,j
386,13151,h
387,21954,j
388,11431,
389,17133,e
390,8276,n
391,13997,i
392,20772,
393,13389,
394,17787,
395,21168,h
396,16579,n
397,8467,p
398,13525,
399,6920,t
400,3181,t
401,9539,c
402,22761,g
403,66,j
404,1324,t
405,366,
406,8018,g
407,21080,j
408,3443,
409,18687,t
410,4602,n
411,1621,n
412,151,
413,3532,d
414,20003,
415,14868,
416,10432,c
417,21591,
418,10745,b
419,18542,
420,20359,
421,8045,t
422,8045,t
423,50,
424,11575,
425,16673,n
426,15814,t
427,1808,j
428,13019,m
429,2167,d
430,7838,i
431,15166,a
432,15996,
433,18978,n
434,10783,g
435,9936,g
436,857,
437,7518,t
438,12107,
439,18261,
440,7854,
441,6588,
442,16179,f
443,12427,
444,11344,g
445,18307,
446,22236,t
447,7719,h
448,14373,
449,4286,f
450,18811,i
451,8967,e
452,20982,
453,6487,b
454,15189,
455,2137,
456,7405,f
457,6503,
458,15279,
459,8265,
460,20612,
461,6216,
462,14518,
463,646,
464,21088,i
465,16876,b
466,2223,t
467,22911,
468,10906,
469,17318,n
470,19035,g
471,52,b
472,10685,b
473,19362,g
474,14766,q
475,22580,
476,9685,t
477,3594,t
478,16438,
479,8431,f
480,11741,i
481,5288,j
482,7733,f
483,6181,
484,557,j
485,3829,i
486,16012,t
487,7796,k
488,11243,g
489,13108,
490,583,e
491,21079,g
492,11040,b
493,5933,
494,21435,i
495,14334,
496,18770,
497,22898,
498,1408,p
499,13443,c
500,23431,
501,21718,
502,22003,
503,15986,b
504,11527,t
505,45,
506,19013,k
507,11672,
508,4717,b
509,22275,i
510,2970,
511,22627,f
512,12491,a
513,14087,t
514,12522,
515,5958,
516,13796,
517,23594,
518,762,
519,8491,
520,5123,d
521,14460,
522,21537,
523,5687,k
524,5336,n
525,4614,t
526,475,a
527,9517,p
528,16115,h
529,22885,d
530,16902,o
531,1336,g
532,3950,b
533,13696,i
534,17520,
535,4761,
536,8168,t
537,19666,e
538,9463,n
539,22336,l
540,5256,i
541,4806,
542,14891,c
543,11303,
544,20851,
545,3155,t
546,13520,
547,1343,p
548,16148,
549,20132,
550,17373,i
551,1619,
552,15676,
553,4664,
554,8698,
555,13618,
556,13251,t
557,22456,i
558,18136,i
559,21492,o
560,2261,t
561,19345,h
562,14921,t
563,18467,e
564,823,s
565,19014,
566,12900,f
567,12806,g
568,5567,p
569,8205,
570,18057,q
571,14355,t
572,5344,
573,21004,k
574,4450,p
575,13992,
576,10963,
577,20112,
578,17572,c
579,16053,a
580,7265,m
581,6967,g
582,18313,
583,10612,
584,14551,
585,8789,
586,22516,
587,17987,
588,10115,g
589,18806,
590,19664,g
591,15145,g
592,19495,
593,7416,
594,19089,n
595,15159,
596,8700,a
597,5699,g
598,19211,
599,19383,t
600,8670,i
601,14399,
602,12578,k
603,10330,n
604,7167,t
605,9898,n
606,15340,c
607,18162,
608,4781,
609,19602,i
610,10343,o
611,1872,p
612,3204,
613,2299,q
614,2344,g
615,465,q
616,16423,
617,10045,k
618,21923,c
619,19034,
620,828,
621,5250,
622,22375,c
623,7500,q
624,14149,q
625,14692,q
626,8266,
627,4186,
628,2358,
629,10655,f
630,19684,h
631,23319,i
632,6431,b
633,20863,
634,6780,t
635,2974,
636,13597,
637,10676,c
638,1143,g
639,677,i
640,7594,f
641,14632,g
642,11137,
643,5218,g
644,6303,i
645,12972,f
646,11115,
647,16947,
648,11606,q
649,22828,n
650,2509,i
651,12451,
652,16760,t
653,2184,
654,4143,j
655,6241,
656,2915,e
657,16204,
658,23012,t
659,1255,i
660,11124,n
661,14205,
662,8226,
663,4752,
664,14990,t
665,10288,
666,22643,c
667,16403,
668,15498,
669,6966,b
670,506,i
671,3422,h
672,15484,f
673,5872,h
674,5220,
675,7276,t
676,10494,
677,11367,q
678,7373,j
679,10927,t
680,23449,
681,2284,o
682,20832,f
683,16209,e
684,15447,
685,2453,i
686,62,b
687,3344,
688,17971,
689,15869,t
690,5897,
691,3694,j
692,5945,
693,9270,
694,9908,c
695,21096,
696,5439,t
697,13202,n
698,18782,i
699,9606,
700,8269,t
701,3578,i
702,6286,
703,8478,t
704,11657,
705,18242,
706,12450,
707,16108,
708,11884,g
709,6467,d
710,2422,d
711,4422,t
712,11361,p
713,6306,g
714,5340,g
715,15680,
716,21166,
717,18928,j
718,7590,
719,11989,
720,22616,f
721,17835,
722,6435,
723,159,q
724,20644,i
725,23544,
726,4863,
727,16062,
728,9370,
729,636,
730,14772,n
731,14391,i
732,16492,d
733,7318,
734,13134,
735,12648,
736,1305,e
737,20897,i
738,19233,j
739,1221,f
740,8416,
741,17510,
742,22744,
743,13693,
744,14175,e
745,1273,
746,8238,l
747,18149,l
748,13291,d
749,12795,n
750,23328,
751,3795,
752,19846,c
753,8883,g
754,20778,
755,10719,
756,11122,t
757,215,q
758,18606,
759,10786,
760,21278,t
761,14288,
762,12816,g
763,21490,
764,2843,
765,20688,
766,13471,
767,7585,
768,17225,
769,19520,
770,18641,
771,21580,
772,11786,
773,4324,t
774,10966,
775,18908,j
776,3075,c
777,1514,j
778,6715,h
779,21366,s
780,9781,t
781,21553,
782,20533,h
783,8021,
784,1542,
785,18310,
786,18315,f
787,8762,a
788,10333,o
789,18274,
790,21211,
791,7562,f
792,3844,
793,21543,
794,19366,t
795,21307,j
796,819,i
797,19928,
798,13150,g
799,13985,
800,3561,c
801,10149,n
802,20217,
803,11412,
804,136,o
805,14293,
806,13089,f
807,17450,t
808,11418,t
809,7117,
810,7620,j
811,1658,b
812,1534,
813,12366,i
814,19565,n
815,20293,p
816,17951,h
817,14164,
818,19607,g
819,5942,s
820,3399,
821,16926,
822,16722,
823,21208,
824,7068,q
825,18555,
826,7871,t
827,3215,
828,5009,e
829,16627,
830,6222,t
831,12717,
832,19899,
833,12030,e
834,17875,m
835,6865,t
836,6722,
837,17134,
838,9336,m
839,17122,n
840,1220,i
841,21616,
842,4052,g
843,104,b
844,20771,
845,2527,
846,12192,n
847,8562,g
848,2554,r
849,13044,
850,3647,c
851,20632,t
852,8192,t
853,5237,i
854,14423,e
855,13710,
856,19944,p
857,9835,i
858,12262,t
859,20791,f
860,5306,
861,11493,e
862,9843,
863,4408,
864,11767,o
865,11636,
866,8915,
867,4376,i
868,592,i
869,2642,i
870,9960,
871,15365,
872,23330,t
873,20258,s
874,12801,h
875,345,
876,11931,t
877,15882,
878,8677,
879,3949,t
880,12075,
881,23485,
882,9305,
883,11822,p
884,3022,
885,3691,q
886,7385,c
887,9661,g
888,409,d
889,11325,f
890,18160,g
891,23204,t
892,16452,f
893,14572,g
894,10620,
895,23172,
896,17553,f
897,9078,i
898,7630,t
899,4365,t
900,14498,c
901,150,t
902,3385,
903,814,g
904,19110,q
905,6986,
906,655,
907,6082,
908,8941,
909,3029,
910,10721,
911,5200,
912,17237,d
913,19636,c
914,617,t
915,8903,
916,4461,t
917,9706,t
918,23142,
919,18166,a
920,21310,
921,2627,c
922,2418,r
923,1847,
924,9684,
925,19626,t
926,18165,p
927,130,j
928,3860,
929,3023,
930,12940,t
931,22669,
932,2577,h
933,23488,
934,7035,
935,1302,b
936,309,t
937,15946,
938,7231,g
939,1248,
940,3153,
941,18938,
942,15915,
943,7752,
944,4543,i
945,2772,
946,16689,
947,17058,t
948,20137,
949,22204,c
950,11298,i
951,4162,
952,14478,f
953,13078,f
954,9064,
955,1582,
956,4855,
957,19172,c
958,20837,q
959,1029,c
960,21106,g
961,6023,
962,18832,t
963,20896,
964,1323,
965,6381,
966,4432,g
967,5569,i
968,8770,t
969,23380,
970,16574,
971,10570,t
972,22697,k
973,22694,
974,6673,g
975,203,g
976,1413,
977,21877,
978,15118,s
979,19213,i
980,21357,
981,1954,h
982,14902,k
983,10204,
984,11531,i
985,4371,i
986,6581,
987,10012,
988,9351,k
989,18552,e
990,13768,
991,3879,
992,13902,
993,22122,
994,5803,
995,22646,
996,8455,
997,3820,
998,17406,
999,14739,
1000,4663,
1001,865,f
1002,7069,
1003,22410,h
1004,3034,e
1005,8833,
1006,8099,n
1007,19685,g
1008,7884,
1009,7169,
1010,18570,
1011,23196,d
1012,9011,
1013,16639,
1014,19937,
1015,7672,l
1016,3570,i
1017,11188,
1018,13941,
1019,14295,p
1020,4274,t
1021,628,
1022,4396,t
1023,23359,
1024,12388,i
1025,17631,t
1026,607,
1027,1326,
1028,19187,
1029,17652,
1030,13256,j
1031,4591,
1032,1159,t
1033,15090,b
1034,17104,e
1035,3235,
1036,17763,
1037,22989,b
1038,1320,
1039,9268,g
1040,13757,
1041,22649,
1042,10391,
1043,3766,
1044,3028,f
1045,1851,b
1046,8782,i
1047,14932,
1048,3787,t
1049,19790,
1050,14964,
1051,3697,
1052,1940,h
1053,10341,
1054,17223,
1055,10438,
1056,8408,
1057,11911,m
1058,21540,r
1059,14253,g
1060,11933,
1061,2809,t
1062,15126,t
1063,10105,h
1064,20616,
1065,13270,
1066,11035,
1067,1414,p
1068,15334,i
1069,11219,
1070,7458,
1071,6984,t
1072,13619,h
1073,22339,
1074,5939,i
1075,6585,n
1076,6745,e
1077,22177,h
1078,10190,
1079,6456,b
1080,10344,
1081,13372,
1082,14856,
1083,19504,
1084,4851,i
1085,626,f
1086,4710,
1087,8743,s
1088,61,g
1089,2280,t
1090,3493,t
1091,12371,
1092,21629,
1093,2001,
1094,15283,g
1095,11158,
1096,4054,c
1097,11479,
1098,7953,
1099,18439,
1100,12126,
1101,1901,t
1102,20305,
1103,19868,
1104,8809,i
1105,15686,
1106,23434,
1107,793,
1108,15042,e
1109,1577,
1110,14842,
1111,924,j
1112,9114,
1113,1561,q
1114,13077,c
1115,22371,
1116,15629,t
1117,7525,s
1118,14198,t
1119,14698,n
1120,3801,h
1121,16582,g
1122,23326,e
1123,4902,n
1124,7108,i
1125,14237,q
1126,8424,i
1127,19355,
1128,7475,
1129,19582,
1130,7882,c
1131,3188,c
1132,16400,t
1133,1744,g
1134,14296,
1135,10985,
1136,14940,
1137,11860,
1138,21745,
1139,18616,
1140,11202,t
1141,2914,
1142,20269,t
1143,1489,
1144,9984,q
1145,3379,
1146,9745,h
1147,12110,
1148,8800,t
1149,19948,t
1150,19297,g
1151,15401,t
1152,12654,
1153,19125,
1154,12430,
1155,5174,k
1156,22709,t
1157,14746,
1158,5482,q
1159,5651,f
1160,18948,
1161,2807,a
1162,17196,g
1163,16058,t
1164,15274,
1165,18271,
1166,17322,t
1167,21903,
1168,22901,
1169,20825,q
1170,3690,d
1171,20692,d
1172,17215,
1173,10578,
1174,8400,c
1175,4918,
1176,8374,
1177,19957,n
1178,5631,d
1179,11422,
1180,18064,t
1181,10067,
1182,15496,
1183,9357,g
1184,4420,
1185,975,
1186,18723,
1187,22173,
1188,5529,
1189,20144,l
1190,13584,
1191,14310,
1192,6957,h
1193,19490,g
1194,21149,g
1195,2926,d
1196,18663,i
1197,13076,t
1198,7410,
1199,22796,
1200,5616,a
1201,13241,
1202,5115,
1203,3290,
1204,23238,e
1205,2230,
1206,16856,s
1207,6011,
1208,4401,
1209,9494,p
1210,20510,
1211,5401,
1212,13042,
1213,4205,
1214,12570,t
1215,3220,n
1216,13638,
1217,12212,t
1218,2263,
1219,12936,q
1220,12665,g
1221,9775,t
1222,8517,f
1223,18871,s
1224,18234,g
1225,6043,q
1226,14126,d
1227,10448,t
1228,1411,t
1229,6710,
1230,7531,
1231,18153,e
1232,20297,
1233,15950,j
1234,5785,j
1235,21403,
1236,3482,g
1237,289,
1238,20674,t
1239,13632,p
1240,8582,s
1241,12999,
1242,21501,j
1243,10627,
1244,2557,
1245,18556,
1246,5216,n
1247,18824,
1248,18716,i
1249,13091,
1250,7136,
1251,18428,b
1252,4567,d
1253,20142,
1254,15054,
1255,8796,
1256,8516,g
1257,16420,l
1258,2706,
1259,15060,o
1260,11700,
1261,19084,
1262,110,
1263,2380,
1264,19217,
1265,6696,
1266,19674,t
1267,23603,t
1268,12829,n
1269,19960,
1270,17990,l
1271,10252,
1272,4474,f
1273,16820,
1274,17198,i
1275,21484,
1276,22325,d
1277,12536,
1278,18002,
1279,923,
1280,17696,b
1281,18364,a
1282,12477,
1283,10312,s
1284,2643,
1285,11750,
1286,11371,
1287,22652,
1288,14782,g
1289,10117,i
1290,7447,
1291,13454,f
1292,18593,
1293,15085,p
1294,4159,m
1295,462,t
1296,11090,b
1297,6060,
1298,21413,r
1299,5924,
1300,21914,
1301,9501,t
1302,17602,s
1303,1588,
1304,12230,t
1305,15936,
1306,8052,t
1307,18774,
1308,19193,
1309,4189,
1310,1182,
1311,1601,b
1312,17496,b
1313,1879,t
1314,7678,c
1315,12041,n
1316,15758,
1317,501,
1318,21545,
1319,9798,t
1320,10557,
1321,8617,t
1322,10065,g
1323,19483,
1324,1211,i
1325,12236,f
1326,7045,t
1327,15897,
1328,10095,t
1329,17633,
1330,21463,s
1331,18873,
1332,13288,
1333,19118,m
1334,2266,e
1335,10728,
1336,17982,f
1337,16864,i
1338,21235,
1339,17255,
1340,22358,
1341,13820,
1342,512,
1343,1863,i
1344,15367,
1345,20988,
1346,10147,c
1347,23256,
1348,18429,i
1349,10421,
1350,9965,g
1351,10774,
1352,2114,
1353,22266,
1354,22249,
1355,2394,t
1356,1997,t
1357,22626,
1358,4958,h
1359,19716,
1360,13887,s
1361,11699,
1362,16688,
1363,18045,
1364,13267,b
1365,18214,
1366,10768,
1367,1799,q
1368,12681,
1369,21810,
1370,7693,
1371,21841,j
1372,7400,
1373,18497,
1374,5286,
1375,13011,
1376,8723,
1377,13555,
1378,5125,
1379,18598,b
1380,4965,
1381,6027,m
1382,1656,
1383,23481,t
1384,2831,
1385,23426,
1386,19406,
1387,5782,b
1388,6850,j
1389,3618,
1390,23100,
1391,2908,
1392,87,
1393,10662,i
1394,12079,t
1395,14740,t
1396,11255,t
1397,22993,
1398,12206,c
1399,2475,
1400,1555,
1401,22970,m
1402,1116,t
1403,17326,t
1404,23168,t
1405,3228,g
1406,5619,f
1407,1709,l
1408,5664,
1409,7605,
1410,3416,
1411,18869,b
1412,19871,g
1413,15972,
1414,11295,m
1415,22233,
1416,20085,g
1417,19956,q
1418,3843,
1419,1541,
1420,22928,d
1421,14633,g
1422,2520,t
1423,1982,d
1424,4057,q
1425,23102,i
1426,7023,n
1427,22760,
1428,11108,
1429,4412,
1430,3808,
1431,1498,
1432,17343,
1433,1321,t
1434,16287,
1435,20714,i
1436,2456,t
1437,21019,q
1438,8902,t
1439,11073,
1440,8209,a
1441,21674,t
1442,21392,c
1443,9645,
1444,13222,
1445,20756,
1446,18836,
1447,23510,i
1448,6266,
1449,22042,
1450,18043,
1451,9655,i
1452,9589,g
1453,13249,
1454,16642,
1455,7033,
1456,18558,d
1457,18088,
1458,22587,
1459,20501,
1460,6176,
1461,17218,
1462,13028,t
1463,6217,t
1464,6263,t
1465,729,
1466,4233,
1467,20372,
1468,1377,b
1469,7112,
1470,1740,
1471,18303,
1472,8441,
1473,11990,c
1474,4719,
1475,14820,q
1476,20043,
1477,12782,
1478,19842,i
1479,9021,t
1480,20246,
1481,16968,o
1482,1138,
1483,8984,t
1484,7378,q
1485,13380,n
1486,8143,n
1487,16629,
1488,15046,a
1489,15653,
1490,4724,q
1491,9222,p
1492,2441,
1493,23073,
1494,1790,
1495,11905,e
1496,6540,
1497,20557,s
1498,2578,
1499,21847,c
1500,3792,
1501,10946,
1502,10727,
1503,2298,g
1504,13637,
1505,5674,
1506,7865,
1507,479,
1508,7419,n
1509,559,f
1510,22861,t
1511,6070,g
1512,5581,t
1513,5581,t
1514,12580,k
1515,18847,
1516,2443,l
1517,12925,
1518,449,i
1519,10061,f
1520,8803,t
1521,18643,
1522,5973,
1523,16474,
1524,7001,
1525,6630,k
1526,12115,t
1527,18013,
1528,14640,i
1529,2097,c
1530,16317,t
1531,16998,q
1532,14660,t
1533,22715,t
1534,4988,
1535,16232,
1536,6069,t
1537,22034,t
1538,10176,c
1539,8173,
1540,20089,f
1541,19164,
1542,15973,
1543,4529,
1544,5337,
1545,1004,
1546,6412,
1547,9319,
1548,23532,i
1549,21646,n
1550,18889,
1551,15532,b
1552,22399,
1553,15290,
1554,21486,g
1555,9800,
1556,5388,
1557,23430,
1558,21599,t
1559,4254,
1560,2966,n
1561,23118,i
1562,5029,r
1563,10696,
1564,18876,
1565,15517,q
1566,16218,
1567,3065,
1568,3384,e
1569,14046,
1570,13187,
1571,3042,
1572,23080,
1573,3450,
1574,4807,
1575,5209,g
1576,12151,
1577,425,
1578,9300,c
1579,16356,
1580,10222,
1581,22152,t
1582,7644,q
1583,21041,m
1584,10521,f
1585,13192,m
1586,22471,s
1587,19030,t
1588,5498,t
1589,19817,
1590,187,
1591,23321,c
1592,12775,
1593,6310,
1594,19280,e
1595,6822,g
1596,3230,
1597,8879,t
1598,7139,g
1599,8077,
1600,10917,t
1601,13328,t
1602,9671,n
1603,8736,h
1604,13286,
1605,15854,a
1606,12634,
1607,11193,
1608,20574,t
1609,11775,
1610,23084,s
1611,7627,
1612,14083,g
1613,7341,c
1614,5199,n
1615,10782,n
1616,18380,c
1617,8932,
1618,565,
1619,13264,m
1620,18945,f
1621,4010,i
1622,19794,j
1623,9795,n
1624,12249,
1625,23501,h
1626,21928,t
1627,8685,t
1628,23400,
1629,7903,t
1630,3530,g
1631,7482,
1632,16340,
1633,7032,
1634,11235,n
1635,11235,n
1636,9117,s
1637,20775,
1638,21513,n
1639,15750,
1640,18577,
1641,17797,n
1642,6426,
1643,14041,
1644,23472,
1645,3271,
1646,17400,
1647,17395,t
1648,9985,
1649,22745,g
1650,7088,t
1651,7553,
1652,1742,
1653,19168,j
1654,17257,d
1655,13817,d
1656,8141,q
1657,1889,
1658,1871,
1659,4259,i
1660,13189,
1661,5398,
1662,14538,
1663,7551,t
1664,13495,t
1665,3390,t
1666,10639,
1667,7550,
1668,4870,
1669,10380,
1670,6681,
1671,15182,
1672,7100,
1673,16867,k
1674,23260,n
1675,14304,t
1676,17359,b
1677,7592,
1678,13003,
1679,6842,
1680,12903,
1681,16381,t
1682,3847,q
1683,19435,
1684,7727,b
1685,9948,
1686,6369,t
1687,9012,
1688,8687,j
1689,11302,
1690,22864,
1691,20394,i
1692,18955,q
1693,15165,
1694,23095,
1695,14754,t
1696,17094,f
1697,12839,
1698,21152,l
1699,14380,
1700,13335,
1701,21799,
1702,13822,
1703,16814,
1704,16952,
1705,13882,
1706,406,d
1707,2585,
1708,4813,
1709,21387,a
1710,19752,
1711,14101,
1712,21367,
1713,1051,o
1714,21965,k
1715,2917,t
1716,6642,a
1717,3978,
1718,19251,
1719,8499,
1720,12828,t
1721,1743,b
1722,12389,b
1723,23178,k
1724,22882,
1725,20369,
1726,17621,c
1727,60,
1728,7407,
1729,8318,d
1730,5063,
1731,3305,
1732,20924,t
1733,6046,i
1734,19825,i
1735,4637,t
1736,4394,
1737,20933,
1738,17457,p
1739,2397,j
1740,6999,
1741,9777,t
1742,10078,
1743,2522,
1744,8523,t
1745,12622,t
1746,6542,q
1747,9205,
1748,47,n
1749,16537,t
1750,6143,
1751,17202,f
1752,11742,
1753,4531,t
1754,10256,
1755,10172,
1756,7200,
1757,17754,b
1758,4393,
1759,21892,
1760,6038,
1761,3087,
1762,22372,t
1763,147,
1764,18692,
1765,6457,
1766,20577,
1767,5257,t
1768,14725,
1769,620,
1770,22996,t
1771,13661,
1772,12090,p
1773,12863,
1774,11733,t
1775,4844,q
1776,8010,
1777,12138,
1778,231,i
1779,13318,c
1780,10150,
1781,4727,
1782,17276,o
1783,11027,
1784,8221,
1785,13359,
1786,22870,t
1787,16729,
1788,7006,
1789,12792,d
1790,19401,i
1791,1387,
1792,13546,c
1793,14094,d
1794,1975,k
1795,18702,
1796,11039,
1797,1595,h
1798,10743,
1799,10920,g
1800,6036,p
1801,17325,q
1802,12163,
1803,20495,t
1804,8154,
1805,5959,d
1806,23504,
1807,911,
1808,13688,q
1809,23176,
1810,6480,
1811,16508,g
1812,18365,k
1813,14036,
1814,2785,g
1815,7948,o
1816,13676,m
1817,10802,t
1818,20725,
1819,12237,
1820,11570,
1821,5615,
1822,19991,f
1823,21649,
1824,8721,q
1825,17043,h
1826,12951,
1827,10704,
1828,22893,
1829,10349,
1830,18546,c
1831,22574,g
1832,9428,
1833,16734,
1834,17261,
1835,16278,t
1836,3980,
1837,13586,
1838,20169,f
1839,9926,h
1840,9127,o
1841,23305,r
1842,3396,t
1843,11660,a
1844,6912,i
1845,18340,
1846,19050,
1847,872,
1848,13560,g
1849,22825,
1850,18003,
1851,20664,i
1852,15914,
1853,2741,
1854,2673,
1855,6769,
1856,21791,
1857,11170,i
1858,3288,
1859,4045,
1860,2148,
1861,401,g
1862,23023,
1863,13890,d
1864,8037,f
1865,21862,t
1866,14662,g
1867,21946,t
1868,8831,
1869,14889,
1870,4125,
1871,194,
1872,15371,t
1873,8214,
1874,7818,
1875,1635,
1876,5276,a
1877,15470,f
1878,14358,i
1879,18999,h
1880,16530,t
1881,8505,
1882,12161,t
1883,10487,
1884,17816,g
1885,12425,q
1886,8222,f
1887,19167,b
1888,6320,f
1889,15778,
1890,2240,f
1891,23311,a
1892,2797,o
1893,3564,t
1894,20828,c
1895,8193,g
1896,6081,
1897,5173,a
1898,11596,a
1899,4617,
1900,22783,
1901,12537,
1902,2324,t
1903,1045,
1904,11316,
1905,19249,
1906,9273,
1907,10610,
1908,11269,
1909,14585,
1910,22061,
1911,20997,
1912,2633,
1913,521,t
1914,11029,
1915,9324,d
1916,21519,i
1917,8991,
1918,14905,
1919,986,t
1920,22220,
1921,21251,
1922,1979,
1923,965,
1924,30,g
1925,6284,m
1926,16575,l
1927,15191,
1928,23484,
1929,1822,t
1930,12988,t
1931,13935,q
1932,1094,g
1933,13962,g
1934,3970,
1935,23020,
1936,16756,n
1937,19569,g
1938,14652,t
1939,9858,
1940,19587,
1941,22878,t
1942,6033,p
1943,20232,
1944,11043,g
1945,22442,g
1946,7751,
1947,20321,t
1948,19215,p
1949,8975,
1950,2391,
1951,21098,t
1952,3853,
1953,6827,
1954,16057,
1955,21292,
1956,1653,
1957,14158,
1958,7393,
1959,9193,t
1960,2089,
1961,20845,i
1962,7061,
1963,10262,a
1964,16298,t
1965,20479,t
1966,330,
1967,22057,t
1968,3244,
1969,9092,t
1970,5791,g
1971,2010,m
1972,10370,
1973,13293,
1974,72,
1975,3099,p
1976,8135,
1977,6394,
1978,13712,b
1979,4491,b
1980,15071,n
1981,22143,
1982,21507,t
1983,11174,
1984,14422,t
1985,13154,
1986,7479,
1987,13838,
1988,20090,o
1989,11662,
1990,8368,h
1991,22485,
1992,15044,
1993,1956,t
1994,12129,
1995,5488,t
1996,2105,n
1997,3754,
1998,2375,
1999,9944,
2000,4525,t
